uno_pc_time_sec,uno_edge_us,mega_evt_pc_time_sec,mega_evt_us,tag,value,dropped_reported
1778961322.119363,399479712,1778961307.295220,385785992,SENSOR,Left Back,0
1778961323.179380,400585656,1778961308.171274,386666668,SENSOR,Left Back,0
1778961323.740988,401152476,1778961309.615002,388105376,SENSOR,Lick Left,0
1778961325.486625,402862948,1778961313.598324,392094916,SENSOR,Lick Left,0
1778961329.302190,406671772,1778961322.073337,400560200,SENSOR,Lick Left,0
1778961329.302190,406672660,1778961323.179380,401667184,SENSOR,Left Back,0
1778961329.302190,406673508,1778961323.741491,402234536,SENSOR,Left Front,0
1778961329.302190,406674360,1778961325.455247,403946616,SENSOR,Return Left,0
1778961329.675053,407037004,1778961329.272266,407759020,SENSOR,WM1,0
1778961331.609091,408959236,1778961329.272266,407759912,CUE1,4000,0
1778961332.794368,410167440,1778961329.272266,407760760,CUE2,4000,0
1778961333.043262,410395548,1778961329.272266,407761612,CORRECT_TURN,Left,0
1778961333.971154,411319360,1778961329.646611,408124596,SENSOR,Wait Sensor,0
1778961335.156282,412509216,1778961331.561144,410048636,SENSOR,Wait Sensor,0
1778961335.902328,413285664,1778961332.766593,411257972,SENSOR_FAST,Gate,0
1778961336.523151,413907712,1778961332.997662,411486296,SENSOR,WM2,0
1778961337.651111,414986952,1778961333.925761,412410976,SENSOR,Lick Right,0
1778961350.733097,428111536,1778961335.111091,413601948,SENSOR,Lick Right,0
1778961351.481342,428830828,1778961335.888600,414379128,SENSOR,Right Back,0
1778961352.102744,429466140,1778961336.509741,415001756,SENSOR,Right Front,0
1778961354.796505,432129052,1778961337.591165,416082012,SENSOR,Return Right,0
1778961358.353124,435678016,1778961350.733097,429218932,SENSOR,Return Right,0
1778961358.978125,436302100,1778961351.451026,429938900,SENSOR,Right Front,0
1778961359.662062,437030412,1778961352.086543,430574812,SENSOR,Right Back,0
1778961360.097230,437453956,1778961352.744171,431223968,SENSOR,Lick Right,0
1778961361.965721,439288204,1778961353.911167,432387176,SENSOR,Lick Right,0
1778961361.965721,439289088,1778961354.765076,433240216,SENSOR,Lick Right,0
1778961361.965721,439289984,1778961358.309005,436792524,SENSOR,Lick Right,0
1778961361.965721,439290888,1778961358.943897,437417192,SENSOR,Right Back,0
1778961362.403259,439732312,1778961359.662062,438146188,SENSOR,Right Front,0
1778961363.401893,440758396,1778961360.085570,438570132,SENSOR,Return Right,0
1778961364.089223,441405920,1778961361.935490,440406104,SENSOR,WM1,0
1778961365.429813,442787016,1778961361.935490,440406988,CUE1,13000,0
1778961365.679838,443001872,1778961361.935490,440407884,CUE2,13000,0
1778961366.550933,443891876,1778961361.935490,440408788,CORRECT_TURN,Right,0
1778961374.597092,451942208,1778961362.374469,440850628,SENSOR,Wait Sensor,0
1778961375.785828,453089132,1778961363.402479,441877676,SENSOR,Wait Sensor,0
1778961376.347525,453661948,1778961364.042408,442525808,SENSOR,Wait Sensor,0
1778961376.723167,454038332,1778961365.429813,443908200,SENSOR_FAST,Gate,0
1778961378.844352,456178668,1778961365.639114,444123260,SENSOR,WM2,0
1778961380.530978,457870688,1778961366.535355,445014096,SENSOR,Lick Right,0
1778961381.337631,458661644,1778961374.598210,453071992,SENSOR,Lick Right,0
1778961381.898381,459235440,1778961375.738897,454219996,SENSOR,Right Back,0
1778961382.336370,459652932,1778961376.317110,454793352,SENSOR,Right Front,0
1778961386.077892,463381872,1778961376.693579,455170088,SENSOR,Return Right,0
1778961386.571468,463857552,1778961378.844352,457312436,SENSOR,Return Right,0
1778961387.258463,464592096,1778961380.532178,459006044,SENSOR,Return Right,0
1778961387.759185,465056484,1778961381.328906,459797744,SENSOR,Right Front,0
1778961389.314090,466611540,1778961381.898381,460372080,SENSOR,Right Back,0
1778961389.314090,466612428,1778961382.321083,460789964,SENSOR,Lick Right,0
1778961389.314090,466613280,1778961386.044243,464522408,SENSOR,Lick Right,0
1778961389.314090,466614132,1778961386.524352,464998536,SENSOR,Right Back,0
1778961389.815491,467113924,1778961387.258463,465733764,SENSOR,Right Front,0
1778961392.866725,470167600,1778961387.726982,466198592,SENSOR,Return Right,0
1778961393.054476,470381480,1778961389.283350,467755108,SENSOR,WM1,0
1778961393.987625,471285900,1778961389.283350,467755996,CUE1,4000,0
1778961405.078281,482357168,1778961389.284433,467756848,CUE2,4000,0
1778961406.202292,483492764,1778961389.287698,467757704,CORRECT_TURN,Left,0
1778961406.763318,484062624,1778961389.784420,468257964,SENSOR,Wait Sensor,0
1778961407.384888,484679476,1778961392.847239,471314508,SENSOR_FAST,Gate,0
1778961420.813762,498097576,1778961393.054476,471528588,SENSOR,WM2,0
1778961434.459115,511688712,1778961393.972390,472433856,SENSOR,Lick Left,0
1778961439.512256,516730248,1778961405.049983,483515524,SENSOR,Lick Left,0
1778961439.512256,516731128,1778961406.186474,484652188,SENSOR,Left Back,0
1778961439.512256,516731980,1778961406.763318,485222584,SENSOR,Left Front,0
1778961439.512256,516732832,1778961407.371044,485840016,SENSOR,Return Left,0
1778961439.945347,517174336,1778961420.813762,499270712,SENSOR,Return Left,0
1778961441.006155,518232080,1778961434.413308,512874612,SENSOR,Return Left,0
1778961441.751599,519001480,1778961439.466583,517920876,SENSOR,WM1,0
1778961443.061097,520276044,1778961439.466583,517921760,CUE1,4000,0
1778961443.309105,520529860,1778961439.467808,517922612,CUE2,4000,0
1778961444.058583,521316612,1778961439.467808,517923464,CORRECT_TURN,Left,0
1778961449.648869,526892136,1778961439.903574,518365384,SENSOR,Wait Sensor,0
1778961452.816509,530019608,1778961440.979547,519424120,SENSOR,Wait Sensor,0
